Priority,Unix TimeStamp,Source port,Destination port,Protocol,TTL,TOS,Datagram Length,A,P,R,S,F,TCP length,TCP options,
3,0.578537978,0.483933996,-0.997557662,3,-0.521912351,1,-0.625287356,1,1,0,0,0,4,3,
3,0.5785529,0.484056113,-0.997557662,3,-0.521912351,1,-0.803448276,1,1,0,0,0,4,3,
3,0.578604117,0.282502175,-0.997557662,3,-0.521912351,1,-0.854022989,1,1,0,0,0,4,3,
3,0.578619396,0.282624292,-0.997557662,3,-0.521912351,1,-0.816666667,1,1,0,0,0,4,3,
3,0.578634954,0.282776938,-0.997557662,3,-0.521912351,1,-0.583908046,1,1,0,0,0,4,3,
3,0.578643178,0.833524141,-0.997557662,3,-0.521912351,1,-0.590804598,1,1,0,0,0,4,3,
3,0.578650855,0.833585199,-0.997557662,3,-0.521912351,1,-0.581609195,1,1,0,0,0,4,3,
3,0.578658436,0.833646258,-0.997557662,3,-0.521912351,1,-0.816091954,1,1,0,0,0,4,3,
3,0.578666161,0.833707316,-0.997557662,3,-0.521912351,1,-0.675287356,1,1,0,0,0,4,3,
3,0.578673761,0.480667369,-0.997557662,3,-0.521912351,1,-0.681609195,1,1,0,0,0,4,3,
3,0.578689309,0.480789486,-0.997557662,3,-0.521912351,1,-0.836206897,1,1,0,0,0,4,3,
3,0.578696835,0.480850544,-0.997557662,3,-0.521912351,1,-0.744827586,1,1,0,0,0,4,3,
3,0.578704322,0.450382379,-0.997557662,3,-0.521912351,1,-0.797701149,1,1,0,0,0,4,3,
3,0.578719326,0.450504495,-0.997557662,3,-0.521912351,1,-0.774137931,1,1,0,0,0,4,3,
3,0.578734434,0.135320786,-0.997557662,3,-0.521912351,1,-0.728735632,1,1,0,0,0,4,3,
3,0.578749671,0.135442903,-0.997557662,3,-0.521912351,1,-0.58045977,1,1,0,0,0,4,3,
3,0.57875746,0.135503961,-0.997557662,3,-0.521912351,1,-0.710344828,1,1,0,0,0,4,3,
3,0.578765007,0.161545389,-0.997557662,3,-0.521912351,1,-0.802298851,1,1,0,0,0,4,3,
3,0.578780259,0.161667506,-0.997557662,3,-0.521912351,1,-0.731034483,1,1,0,0,0,4,3,
3,0.578788001,0.161728565,-0.997557662,3,-0.521912351,1,-0.917241379,1,1,0,0,0,4,3,
3,0.578803307,0.645830471,-0.997557662,3,-0.521912351,1,-0.765517241,1,1,0,0,0,4,3,
3,0.578810883,0.64589153,-0.997557662,3,-0.521912351,1,-0.695977011,1,1,0,0,0,4,3,
3,0.578818417,0.645952588,-0.997557662,3,-0.521912351,1,-0.691954023,1,1,0,0,0,4,3,
3,0.578826,0.812825327,-0.997557662,3,-0.521912351,1,-0.77816092,1,1,0,0,0,4,3,
3,0.578833709,0.812886385,-0.997557662,3,-0.521912351,1,-0.890229885,1,1,0,0,0,4,3,
3,0.57884122,0.812947444,-0.997557662,3,-0.521912351,1,-0.585057471,1,1,0,0,0,4,3,
3,0.578848634,0.813008502,-0.997557662,3,-0.521912351,1,-0.827011494,1,1,0,0,0,4,3,
3,0.578864009,0.549144418,-0.997557662,3,-0.521912351,1,-0.743678161,1,1,0,0,0,4,3,
3,0.578923105,0.714093816,-0.997557662,3,-0.521912351,1,-0.822413793,1,1,0,0,0,4,3,
3,0.578930708,0.714154875,-0.997557662,3,-0.521912351,1,-0.837356322,1,1,0,0,0,4,3,
3,0.579018587,0.464792172,-0.997557662,3,-0.521912351,1,-0.912068966,1,1,0,0,0,4,3,
3,0.579026276,0.464853231,-0.997557662,3,-0.521912351,1,-0.831034483,1,1,0,0,0,4,3,
3,0.579056644,0.417563463,-0.997557662,3,-0.521912351,1,-0.583908046,1,1,0,0,0,4,3,
1,0.57906555,0.358367297,-0.997557662,3,-0.521912351,1,-0.88045977,1,1,0,0,0,4,3,
3,0.57906555,0.358367297,-0.997557662,3,-0.521912351,1,-0.88045977,1,1,0,0,0,4,3,
2,0.579067308,0.358458885,-0.997557662,3,-0.521912351,1,-0.927011494,1,1,0,0,0,4,3,
2,0.579068948,0.358550472,-0.997557662,3,-0.521912351,1,-0.910344828,1,1,0,0,0,4,3,
2,0.579070025,0.358611531,-0.997557662,3,-0.521912351,1,-0.926436782,1,1,0,0,0,4,3,
3,0.579071894,0.372044389,-0.997557662,3,-0.521912351,1,-0.875862069,1,1,0,0,0,4,3,
2,0.579074254,0.358733648,-0.997557662,3,-0.521912351,1,-0.92183908,1,1,0,0,0,4,3,
2,0.579075886,0.358794706,-0.997557662,3,-0.521912351,1,-0.910344828,1,1,0,0,0,4,3,
3,0.579086928,0.372166506,-0.997557662,3,-0.521912351,1,-0.885057471,1,1,0,0,0,4,3,
3,0.579094627,0.067912259,-0.997557662,3,-0.521912351,1,-0.614942529,1,1,0,0,0,4,3,
3,0.579124879,0.26619957,-0.997557662,3,-0.521912351,1,-0.687931034,1,1,0,0,0,4,3,
3,0.579132377,0.266260628,-0.997557662,3,-0.521912351,1,-0.733908046,1,1,0,0,0,4,3,
3,0.579139892,0.266321686,-0.997557662,3,-0.521912351,1,-0.886206897,1,1,0,0,0,4,3,
3,0.579147882,0.266382745,-0.997557662,3,-0.521912351,1,-0.845402299,1,1,0,0,0,4,3,
3,0.579155411,0.06470669,-0.997557662,3,-0.521912351,1,-0.870114943,1,1,0,0,0,4,3,
3,0.579163153,0.064767749,-0.997557662,3,-0.521912351,1,-0.854022989,1,1,0,0,0,4,3,
3,0.579178443,0.064889866,-0.997557662,3,-0.521912351,1,-0.885057471,1,1,0,0,0,4,3,
3,0.579186194,0.154401551,-0.997557662,3,-0.521912351,1,-0.583908046,1,1,0,0,0,4,3,
3,0.579194097,0.154462609,-0.997557662,3,-0.521912351,1,-0.790229885,1,1,0,0,0,4,3,
3,0.579202158,0.154523668,-0.997557662,3,-0.521912351,1,-0.672988506,1,1,0,0,0,4,3,
3,0.579216984,0.652882722,-0.997557662,3,-0.521912351,1,-0.736206897,1,1,0,0,0,4,3,
3,0.579224599,0.65294378,-0.997557662,3,-0.521912351,1,-0.835057471,1,1,0,0,0,4,3,
3,0.57923989,0.653065897,-0.997557662,3,-0.521912351,1,-0.648275862,1,1,0,0,0,4,3,
3,0.579283517,0.04742715,-0.997557662,3,-0.521912351,1,-0.593103448,1,1,0,0,0,4,3,
3,0.579291331,0.047488208,-0.997557662,3,-0.521912351,1,-0.616091954,1,1,0,0,0,4,3,
3,0.57934251,0.181938911,-0.997557662,3,-0.521912351,1,-0.755747126,1,1,0,0,0,4,3,
3,0.579365118,0.182122086,-0.997557662,3,-0.521912351,1,-0.590804598,1,1,0,0,0,4,3,
3,0.57938109,0.337118957,-0.997557662,3,-0.521912351,1,-0.736206897,1,1,0,0,0,4,3,
3,0.579388685,0.337180016,-0.997557662,3,-0.521912351,1,-0.848275862,1,1,0,0,0,4,3,
3,0.579403591,0.571980278,-0.997557662,3,-0.521912351,1,-0.717241379,1,1,0,0,0,4,3,
3,0.579411105,0.572041337,-0.997557662,3,-0.521912351,1,-0.874712644,1,1,0,0,0,4,3,
3,0.579418678,0.572102395,-0.997557662,3,-0.521912351,1,-0.729310345,1,1,0,0,0,4,3,
3,0.579426203,0.572163453,-0.997557662,3,-0.521912351,1,-0.667816092,1,1,0,0,0,4,3,
3,0.579433763,0.120025645,-0.997557662,3,-0.521912351,1,-0.715517241,1,1,0,0,0,4,3,
3,0.579441297,0.120086703,-0.997557662,3,-0.521912351,1,-0.605747126,1,1,0,0,0,4,3,
3,0.579448938,0.120147761,-0.997557662,3,-0.521912351,1,-0.843103448,1,1,0,0,0,4,3,
3,0.579463878,0.120300408,-0.997557662,3,-0.521912351,1,-0.849425287,1,1,0,0,0,4,3,
3,0.579471061,0.120361466,-0.997557662,3,-0.521912351,1,-0.644252874,1,1,0,0,0,4,3,
3,0.579493781,0.627635054,-0.997557662,3,-0.521912351,1,-0.806321839,1,1,0,0,0,4,3,
3,0.579501524,0.627696112,-0.997557662,3,-0.521912351,1,-0.588505747,1,1,0,0,0,4,3,
3,0.579509141,0.627757171,-0.997557662,3,-0.521912351,1,-0.602873563,1,1,0,0,0,4,3,
3,0.579516728,0.627818229,-0.997557662,3,-0.521912351,1,-0.86091954,1,1,0,0,0,4,3,
3,0.579560494,0.51211247,-0.997557662,3,-0.521912351,1,-0.845402299,1,1,0,0,0,4,3,
3,0.57957562,0.512234587,-0.997557662,3,-0.521912351,1,-0.816666667,1,1,0,0,0,4,3,
3,0.579583276,0.087908901,-0.997557662,3,-0.521912351,1,-0.89137931,1,1,0,0,0,4,3,
3,0.579590753,0.087969959,-0.997557662,3,-0.521912351,1,-0.683908046,1,1,0,0,0,4,3,
3,0.579620945,0.274076109,-0.997557662,3,-0.521912351,1,-0.874137931,1,1,0,0,0,4,3,
3,0.579644321,0.142342507,-0.997557662,3,-0.521912351,1,-0.77816092,1,1,0,0,0,4,3,
2,0.579647705,0.020500374,-0.997557662,3,-0.521912351,1,-0.926436782,1,1,0,0,0,4,3,
1,0.579651311,0.020622491,-0.997557662,3,-0.521912351,1,-0.88045977,1,1,0,0,0,4,3,
3,0.579651311,0.020622491,-0.997557662,3,-0.521912351,1,-0.88045977,1,1,0,0,0,4,3,
3,0.57965984,0.326281083,-0.997557662,3,-0.521912351,1,-0.762643678,1,1,0,0,0,4,3,
3,0.579675124,0.773259453,-0.997557662,3,-0.521912351,1,-0.722988506,1,1,0,0,0,4,3,
3,0.57968258,0.773320511,-0.997557662,3,-0.521912351,1,-0.885632184,1,1,0,0,0,4,3,
3,0.579690155,0.77338157,-0.997557662,3,-0.521912351,1,-0.841954023,1,1,0,0,0,4,3,
3,0.579705602,0.479385141,-0.997557662,3,-0.521912351,1,-0.882758621,1,1,0,0,0,4,3,
3,0.579736868,0.731526003,-0.997557662,3,-0.521912351,1,-0.776436782,1,1,0,0,0,4,3,
3,0.579745034,0.731587062,-0.997557662,3,-0.521912351,1,-0.886206897,1,1,0,0,0,4,3,
3,0.579833759,0.674833234,-0.997557662,3,-0.521912351,1,-0.803448276,1,1,0,0,0,4,3,
3,0.579848778,0.674955351,-0.997557662,3,-0.521912351,1,-0.906896552,1,1,0,0,0,4,3,
3,0.579892277,0.358458885,-0.997557662,3,-0.521912351,1,-0.713793103,1,1,0,0,0,4,3,
3,0.57990785,0.358581002,-0.997557662,3,-0.521912351,1,-0.840229885,1,1,0,0,0,4,3,
3,0.579915523,0.04464899,-0.997557662,3,-0.521912351,1,-0.848275862,1,1,0,0,0,4,3,
3,0.579938331,0.044832166,-0.997557662,3,-0.521912351,1,-0.737931034,1,1,0,0,0,4,3,
3,0.57998181,0.822228328,-0.997557662,3,-0.521912351,1,-0.897126437,1,1,0,0,0,4,3,
3,0.579989371,0.822289387,-0.997557662,3,-0.521912351,1,-0.58045977,1,1,0,0,0,4,3,
2,0.580019541,0.342217338,-0.997557662,3,-0.521912351,1,-0.767241379,1,1,0,0,0,4,3,
3,0.580050989,0.333211216,-0.997557662,3,-0.521912351,1,-0.729885057,1,1,0,0,0,4,3,
3,0.580058859,0.333272275,-0.997557662,3,-0.521912351,1,-0.883333333,1,1,0,0,0,4,3,
3,0.580066384,0.371464334,-0.997557662,3,-0.521912351,1,-0.836206897,1,1,0,0,0,4,3,
1,0.580071913,-0.917693212,-0.986475554,3,-0.011952191,1,-0.513793103,1,1,0,0,0,1,0,
3,0.580081638,0.371586451,-0.997557662,3,-0.521912351,1,-0.910344828,1,1,0,0,0,4,3,
1,0.580087055,-0.917662683,-0.986475554,3,-0.011952191,1,-0.513793103,1,1,0,0,0,1,0,
3,0.580089272,0.37164751,-0.997557662,3,-0.521912351,1,-0.585057471,1,1,0,0,0,4,3,
3,0.580096859,0.845430538,-0.997557662,3,-0.521912351,1,-0.706321839,1,1,0,0,0,4,3,
3,0.580104448,0.845491597,-0.997557662,3,-0.521912351,1,-0.822413793,1,1,0,0,0,4,3,
3,0.580119512,0.845613714,-0.997557662,3,-0.521912351,1,-0.739655172,1,1,0,0,0,4,3,
3,0.580163418,0.599639755,-0.997557662,3,-0.521912351,1,-0.872988506,1,1,0,0,0,4,3,
